stableBindProbability,chemokineExpressionThreshold,initialChemokineExpressionValue,maxChemokineExpressionValue,maxProbabilityOfAdhesion,adhesionFactorExpressionSlope,Velocity,Displacement
10,0.3,0.2,0.04,0.6,1,3.3845999111219,30.9482886056219
10,0.3,0.2,0.04,0.6,1,7.51426949619366,35.8681372302076
10,0.3,0.2,0.04,0.6,1,3.76748652580145,54.4287361040732
10,0.3,0.2,0.04,0.6,1,4.35909886959405,42.0905857397698
10,0.3,0.2,0.04,0.6,1,4.93072380867694,77.4339399374265
10,0.3,0.2,0.04,0.6,1,5.60362046780049,102.002871334981
10,0.3,0.2,0.04,0.6,1,4.64037917691681,35.3690023787361
10,0.3,0.2,0.04,0.6,1,4.32974803350137,37.0471344585412
10,0.3,0.2,0.04,0.6,1,6.00350235913935,52.9372554391466
10,0.3,0.2,0.04,0.6,1,4.43063566955364,32.950991884174
10,0.3,0.2,0.04,0.6,1,4.8245150477599,61.8802803939446
10,0.3,0.2,0.04,0.6,1,6.05328958319533,67.719123357171
10,0.3,0.2,0.04,0.6,1,5.15059627919985,81.5433406004413
10,0.3,0.2,0.04,0.6,1,6.88929477806517,112.201581777544
10,0.3,0.2,0.04,0.6,1,4.63693840283767,43.4582420109789
10,0.3,0.2,0.04,0.6,1,6.31313232697785,112.83278265423
10,0.3,0.2,0.04,0.6,1,4.28121494375724,26.2450135600747
10,0.3,0.2,0.04,0.6,1,5.19999999999999,84.3339877176486
10,0.3,0.2,0.04,0.6,1,4.10325878240896,49.0255776183568
10,0.3,0.2,0.04,0.6,1,4.25095324460079,40.6513905366785
10,0.3,0.2,0.04,0.6,1,3.730012124924,69.3414975218751
10,0.3,0.2,0.04,0.6,1,6.04636082999286,54.5493828704016
10,0.3,0.2,0.04,0.6,1,6.12020349213437,28.9422688563492
10,0.3,0.2,0.04,0.6,1,3.83613677549013,44.7610886357481
10,0.3,0.2,0.04,0.6,1,5.90930968907799,88.7988316949054
10,0.3,0.2,0.04,0.6,1,4.39137817669088,42.8365072299757
10,0.3,0.2,0.04,0.6,1,5.00602270823398,38.2490081080274
10,0.3,0.2,0.04,0.6,1,3.77848331534147,53.2246226521342
10,0.3,0.2,0.04,0.6,1,4.62888820747254,23.2049061142901
10,0.3,0.2,0.04,0.6,1,6.24754005315747,100.916995604808
10,0.3,0.2,0.04,0.6,1,5.65655782627178,31.021327200923
10,0.3,0.2,0.04,0.6,1,3.70993183592398,53.9256092815308
10,0.3,0.2,0.04,0.6,1,6.83853071346549,52.2944184548587
10,0.3,0.2,0.04,0.6,1,5.54080377174555,76.9810404313128
10,0.3,0.2,0.04,0.6,1,3.8252777090343,38.149429758551
10,0.3,0.2,0.04,0.6,1,6.11451278135756,44.4158592608315
10,0.3,0.2,0.04,0.6,1,3.94296665491499,18.424084706714
10,0.3,0.2,0.04,0.6,1,4.08669387780459,92.4316209963816
10,0.3,0.2,0.04,0.6,1,3.38551435667322,91.5971595404533
10,0.3,0.2,0.04,0.6,1,5.23274330729252,24.3022747316864
10,0.3,0.2,0.04,0.6,1,3.76299371596386,23.0873155193331
10,0.3,0.2,0.04,0.6,1,3.96620842341242,22.4864737233117
10,0.3,0.2,0.04,0.6,1,5.53988968521527,14.8123166809463
10,0.3,0.2,0.04,0.6,1,4.00035430604511,47.37199108779
10,0.3,0.2,0.04,0.6,1,4.30162426192766,101.101112880236
10,0.3,0.2,0.04,0.6,1,4.76515950052531,57.3240167333092
10,0.3,0.2,0.04,0.6,1,5.7710474786514,56.4597370212906
